Chla_corr_ug.L,Turbidity_NTU,Total_BV
20.7,5,14.03723968
6.92,12,2.070894728
6.09,19,1.36872329
6.09,19,11.95437194
31,6.29,6.16428332
31,6.29,8.458157596
16.1,22,7.350985817
6.32,91,4.169737285
5.03,26,0.995279119
12,8,3.787153254
19.1,10,6.040631194
36.1,7,11.82788017
3.87,18,1.284139711
4.04,6,4.285106542
5.13,17,1.597807438
8.47,6,1.241383307
27.6,6,14.39612907
6.54,10.3,0.863034065
3.14,15,0.503878605
2.61,16,1.456951474
2.18,75,0.931084717
4.04,49,4.549026768
8.34,9,0.582736904
7.28,5,0.59821287
2.87,21.2,0.836695743
3.31,1.84,2.062248956
5.3,4.96,0.519836807
3.36,2,2.087102453
4.5,1,2.059218759
5.38,1,0.412813627
2.69,50.4,3.168576185
5.13,72.9,3.164334668
12.2,51.3,5.3806096
6.64,23,15.44559489
5.07,26,3.721224072
5.6,8,3.099419673
9.42,23,0.472611148
7.56,7,0.514376355
41.7,8,1.557604787
5.4,15,1.193718616
3.14,6,1.46784417
4.37,5,0.551442863
5.05,5,0.027748056
3.47,4,1.670110835
1.86,18.5,1.763181465
8.61,5.91,2.622078117
33.4,7,6.667113664
18.5,11,8.459823171
11.26,10,0.461896486
48.9,17.2,4.34441451
43.43,8,4.148511952
22.2,8,9.566672118
5.38,9,1.123457732
32.6,28,23.48750115
30.7,12,9.689352044
21.2,19,4.40402002
40.4,13,4.65979561
41.7,11,40.08222282
17,7,3.225658708
26.1,8,5.731759655
2.69,6.3,0.532289247
15.4,7.84,6.10120713
66.9,8,17.8313225
46.1,9,12.13017222
27.4,15,1.453828637
38.1,9.08,1.670328856
56.9,14,3.013452126
6.41,17.2,1.153270468
3.97,11,1.159018899
10.3,4.17,1.296321149
64.89,8,3.368098187
4.64,8,1.005103538
3.2,3,0.994814929
33.3,7.7,3.168856544
9.93,7,1.805976846
15,8,2.941046075
15.4,12,3.22816071
31,23.2,4.569157658
66.2,25,3.915399431
31.46,23,2.379674666
16.7,18,3.471468066
13,37,3.040379536
13.5,21,1.021832504
9.08,39,2.426637015
13.2,6,0.576455185
69.4,16,0.871775882
31.3,9,0.846178687
43.5,6,16.07727639
6.18,8,1.093998092
7.23,40,0.747163087
3.18,106,1.981806309
3.48,20,3.686837927
9.73,4,2.596301603
5.98,14,1.056781564
4.64,6.64,0.028483093
9.42,5.72,0.669048384
19.2,14,0.984211864
1.3,28,1.229484032
7.8,30,9.035473544
21.7,14,0.852218605
9.02,11.3,3.862147245
3.65,19,0.797428903
63.5,16.5,9.39814488
235,24,25.40862749
8.28,2,11.17456928
61.96,15,6.213375815
8.2,41,2.634014559
6.93,19,1.490324395
34.4,10.8,1.392820489
5.95,26,2.05427199
23.2,5,1.389200565
37.7,20,3.655948627
16.1,5,4.780533952
15,7,0.794778529
4.81,8,0.242941032
8.21,26,1.472192894
4.44,49,3.215034237
12,54,1.710470922
20.2,5,4.901530888
25.4,8,0.404377344
14.2,8,0.673282159
86,7,5.60854764
26.7,11,1.037670772
89.6,10,0.303214074
37,6.25,1.148618054
19.4,10,0.704355283
27.1,5,3.551326459
17.8,10,2.102981448
13.7,6,1.203767044
19.5,55.4,4.5850989
71.7,61,4.790643575
13.96,24,3.986855794
0.92,1,0.214634234
2.52,3.65,0.167065862
12.6,4,1.540943447
3.04,4,0.143548777
5.38,46,3.045409062
7.56,22.2,3.249916773
2.99,78,5.102055304
11.1,9,3.058122176
13.7,10,6.62621162
17.6,7.97,2.260280003
16.02,8,0.914796841
2.65,4.62,0.559417323
2.73,11,2.655013981
13.5,2.25,0.734446521
2.65,5,0.276516778
84.2,84,13.01484993
62.9,0,1.985100524
135,175,27.44371256
39.1,54,7.436348105
83.8,86,1.05947517
12.8,4,1.010324361
15.2,10,1.27770532
15.6,10,3.260340096
10.3,4,0.674083383
12.3,5,5.356758514
6.73,12,0.378897959
3.78,1.79,0.616186025
2.61,13,0.737250168
21.1,3,1.083070032
14.3,5,3.952398061
48.3,7.01,3.21085607
33.6,8,2.398054326
0.53,112,2.262686077
3.42,58.2,4.223885791
5.21,103,2.864002651
4.86,59,5.579640945
8.2,43.4,6.378481381
15.3,33,2.746255453
6.84,65,3.851308334
5.05,22.6,1.889046726
7.28,39,3.259225012
15.7,19.8,1.332441995
7.24,6,2.133959806
3.84,7,2.6779846
6.73,7,1.27745159
5.64,7,0.596036741
6.41,9.41,0.401070713
13.5,8,3.932252902
23.2,5.72,0.763876127
31.1,17,1.424001172
15.7,6,1.652984281
7.88,16.1,1.16842817
3.63,8,1.380967723
5.9,8,0.913952218
4.89,27,2.93822006
11,5,5.715751362
6.93,34,2.95475466
18.8,27,16.20145223
13.2,18,1.891474608
9.61,36,5.119687758
4.48,65,0.890881663
14.4,30,1.426797335
21.8,19,2.580215257
11.3,55.9,5.651918878
25,9,0.579852881
12.6,12,7.626884808
10.9,4.8,4.975479057
15.4,8,2.175808732
13.2,4.34,1.145075102
52.3,8,20.05511471
22.5,6,0.653874918
10.3,9,2.144761906
46.7,14,2.150019265
16.2,7,2.897514885
6.47,13,1.480402934
2.85,4,0.532845879
3.59,3,2.07247881
6.06,2,0.467795038
7.05,5,0.677265386
26.9,4.21,2.102137279
70.4,13,6.268853959
12.4,8.34,2.004341675
2.69,10,1.090902649
3.31,23,1.270373889
34.3,7.14,0.594411114
0.96,56.8,3.303325911
7.28,17,1.727345556
6.91,6,8.494540071
3.31,213,14.32902338
14.2,8,3.316047972
15.6,8.4,0.703452921
18.1,5,5.412434408
23.4,4,4.249121408
18.7,4,2.595905202
6.73,4,0.468739333
44.9,13,6.390797768
27.5,6,7.878628728
20.2,6.9,0.439767495
4.56,14.7,0.708490849
9.42,10.1,0.495916918
10.6,59.4,9.42399779
6.58,89.3,5.087699401
10.7,105,3.877888304
4.07,61,3.54607118
3.91,10,0.743736989
5.21,9.84,2.603487384
4.96,3.37,1.110095429
2.61,10,0.541987542
5.49,12,0.274624418
6.73,16,1.253713067
9.13,10,4.147626383
8.33,15.2,1.682413952
3.72,5,4.033791582
7.17,6,0.651964853
6.06,11.4,0.571146965
4.96,74,4.096627886
3.91,189,7.935551661
5.25,47,1.276621972
6.41,10,12.31245635
4.49,5,0.644039326
5.21,3.82,0.87272852
0.65,3,0.06170655
1.28,3,1.206848592
1.86,3,0.313650379
0.96,2,0.393348013
0.65,1.55,0.078423541
1.74,3,0.383510736
1.92,3,0.119555509
1.5,4,0.583285608
29.5,12,5.998965736
38,19.2,3.952398059
45.4,11,4.535193187
47.1,11,6.378488899
6.81,14,0.632861147
10.4,19.3,1.223327371
5.83,10,0.502570848
6.41,13,0.727586816
8.07,10,1.544335904
5.73,4,1.053726411
2.56,0,0.020746074
3.83,17,0.92134088
0.66,8.03,0.697706674
6.57,22.5,1.000345424
2.78,7.6,0.07790035
8.25,9,0.459805035
1.92,24,2.354506427
26.9,7,0.975165188
56.5,104,3.252168149
20.2,11.4,2.395057682
59.2,26,7.73352676
40.2,22,0.107976885
34.9,20,15.05564996
65.1,31.4,9.668910588
49.4,48,3.163366761
12.5,31,10.12500949
11.5,8,1.965245883
16.3,6,9.450711222
8.33,26,6.982426481
5.3,54,5.039124246
10.1,8.36,3.648759571
3.91,22,1.728059198
2.09,3,0.530509085
4.65,6,0.037194839
4.17,6,0.242219632
4.19,17,0.29742821
28.2,14,10.87265447
2.61,15,0.513213745
18.2,5,1.54035955
22.8,11,91.30832339
20.5,4.25,1.581250107
9.27,5.01,1.299296989
37.1,6,9.908480618
38.4,8,4.584302927
7.69,14,0.105176566
15.5,23,1.604808414
5.86,12,0.333010017
6.51,14,1.46742386
11.2,17,4.860555879
7.82,8,0.946244811
17.5,7,3.766469347
21.3,6.35,3.641920846
26.7,8,6.694167711
21.1,11,1.636080119
5.8,20,0.41774161
32.8,18,2.166678339
69.5,12,2.390195012
95.9,58,9.526955171
67.9,30,5.231899026
11.7,16.6,17.66585812
5.3,27.6,3.052970622
5.33,7,2.32292944
8.14,15,0.028061638
5.38,12,0.51852293
5.77,21,1.367562897
7.66,6,3.753239437
7.44,9,1.234974589
21.9,12,0.589802445
5.47,12,0.685795549
8.7,4,6.439052017
13,5,1.023356
11.4,5.89,4.501065002
16.4,12,4.215789729
15.2,8,1.044166245
5.18,8,4.074715443
5.19,2,4.145573428
8.05,2.6,0.596977235
1.37,1.19,0.292093685
6.3,3.17,2.226633493
8.89,6,0.479741878
16.1,6,0.175512311
14.5,8,2.713543652
5.86,1.95,0.039379097
63.1,20,0.135543059
26.2,5.3,1.177853503
13.8,4,2.069835997
15.5,6.3,0.711178479
5.2,6,2.258760461
2.56,21,1.470833186
3.97,18.3,2.769519193
2.78,10,0.469351517
11.3,4,0.98888727
3.31,16,1.152817249
2.69,8,1.13416952
3.97,13.3,0.67741591
5.47,17,1.643098354
15,7.2,0.691165863
4.97,4,1.475930151
6.07,7,0.093068395
3.14,16,0.170352365
6.58,2,4.24354504
2.82,3,2.026673845
51.6,12,2.982011826
26.1,7.6,0.968962923
56,11.1,3.334425839
7.69,102,5.614473276
5.87,31,4.819204045
9.77,49.9,4.858494358
7,3,0.299973119
1.46,1,0.328030134
8.18,3,1.95109893
5.13,4,2.088859256
28.2,4,1.359631412
8.47,3,5.25735304
11,3,2.129200822
23.6,7,1.775727669
9.55,10,1.893315544
14.6,3.16,2.050869979
18.5,5,3.559307835
14.33,8,0.795521235
19.8,6,1.29732799
14.8,20.2,2.7073928
10.4,16.4,1.92665256
7.62,19,1.848286261
7.86,101,1.907295911
16.4,63,5.170904388
7.81,42,1.01932886
6.49,58,1.133970287
11.3,6,3.004108921
4.17,14,2.12692788
4.1,6.94,6.943304251
9.54,10,0.833210085
3.36,16,1.304259206
10.3,28,1.521190115
2.88,2.78,0.729528671
16.1,5,1.752992096
18.9,9,2.877793499
17.2,6,3.649257192
6.64,5,2.200187989
24.4,16,1.153740326
9.44,65,6.147817585
14.6,69,5.9759709
47.6,9,23.98521192
21.8,6,0.288064112
10.7,19,1.817029906
15.2,31,1.21116186
7.68,9,1.141663915
4.06,59,4.803139301
13.5,64,3.539859639
11,46.9,5.702176774
11.21,19.5,3.126223983
21.4,19,9.103239748
31.4,46.1,7.003938388
16.6,14,3.148135412
17.2,2.3,24.97214053