,UL,FOREST,GRASS,AG,WA_LA,LAT,LONG,PRECIP
Altus,3.33,1.8,68.96,23.6,323.58,34.89,-99.29,59.2
Arcadia,58.4,20.84,16.9,1.19,72.98,35.65,-97.36,85.1
Atoka,3.85,59.12,20.05,15.76,19.95,34.45,-96.09,108
Bell Cow,5.55,33.8,50.62,5.02,18,35.73,-96.92,87.8
Birch,5.42,36.21,49.23,6.32,35.86,36.53,-96.16,94.5
Bluestem,1.49,3.45,90.73,1.18,34.85,36.7,-96.4,94.1
Broken Bow,3.81,75.76,12.68,7.2,21.86,34.15,-94.68,138.4
Brown,12.95,62.57,17.47,1.93,24.39,34.84,-95.86,107.5
Canton,3.13,0.8,61.8,33.57,1031.82,36.09,-98.59,49.3
Carl Albert,1.42,93.66,1.42,0.03,19.95,34.77,-95.07,123.1
Carl Blackwell,4.5,18.09,64.82,5.33,14.52,36.13,-97.19,84
Carl Etling,0.79,0.01,98.4,0.01,167.84,36.85,-102.87,41.1
Cedar,2.43,95.63,0.68,0.01,76.03,34.78,-94.69,139.4
Chandler,7.68,32.3,52.23,2.15,19.43,35.73,-96.91,88.5
Chelsea,1.49,77.88,10.18,0,10.26,36.54,-95.47,103.1
Chickasha,3.08,20.64,65.8,6.76,33.37,35.13,-98.13,76.9
Claremore,9.82,49.05,7.55,31.55,59.29,36.33,-95.58,103.1
Clayton,1.37,88.16,9.46,0,89.85,34.54,-95.31,126.9
Clear Creek,5.27,23.52,49.79,14.65,17.8,34.59,-97.84,86.7
Cleveland,5.15,30.73,58.05,4.38,88.58,36.28,-96.58,94
Clinton,4.05,2.46,33.92,58.62,17.7,35.44,-99.22,65.8
Copan,3.7,22.34,34.86,36.6,67,36.89,-95.97,96.4
Crowder,3.41,2.38,45.37,47.88,107.91,35.39,-98.7,73.2
Cushing,5.47,13.34,66.23,12.25,34.7,36.01,-96.88,89.3
Dripping Springs,2,45.27,31.98,14.42,15.46,35.57,-96.11,102.2
Duncan,3.19,30.75,57.26,1.46,13.84,34.52,-97.81,86.5
Ellsworth,4.16,3.87,55.41,32.95,31.23,34.8,-98.37,77.8
Elmer Thomas,27.27,0,27.27,0,0.01,35.88,-97.99,77.2
Elmore City,4.13,6.02,76,9.7,25.07,34.63,-97.39,90.9
Eucha,5.91,46.94,3.79,41.87,81.72,36.37,-94.93,113.6
Eufaula,4.52,51.34,14.93,17.11,7.44,35.46,-95.61,107.48
Fairfax,0.49,3.33,78.89,14.41,46.75,36.61,-96.73,90.4
Fort Cobb,3.73,3.86,38.14,51.71,47.49,35.16,-98.46,73.9
Fort Gibson,5.9,41.87,4.79,38.42,12.31,35.87,-95.23,109.2
Fort Supply,2.69,0.2,72.47,23.26,673.82,36.55,-99.57,54.9
Foss,3.19,1.6,84.44,9.44,107.29,35.54,-99.19,61.8
Frederick,3.34,0.42,83.4,10.04,41.75,34.51,-98.89,71.5
Fuqua,4.41,27.6,56.76,5.08,15.98,34.6,-97.67,87.7
Grand,7.79,37.21,1.68,43.34,10.31,36.47,-95.03,109.83
Great Salt Plains,3.09,1.2,63.26,29.91,232.26,36.74,-98.16,67
Greenleaf,3.31,68.83,9.92,16,60.43,35.62,-95.17,110.3
Hauani,2.78,20.95,59.41,16.11,27.46,34.06,-96.88,97.9
Hefner,55.75,0.84,2.78,0.24,2.37,35.58,-97.6,84.2
Henryetta,3.94,44.09,19.12,28.57,24.95,35.42,-95.92,105.4
Heyburn,3.84,61.54,28.1,5.39,118.24,35.95,-96.3,94.6
Holdenville,5.48,37.16,23.45,28.64,16.62,35.03,-96.37,99.2
Hominy,4.11,10.66,79.5,3.96,17.97,36.41,-96.42,94.2
Hudson-Mayes,5.63,39,2.64,46.82,21.17,36.23,-95.18,109.2
Hudson-Osage,2.03,36.23,51.34,7.06,31.35,36.81,-96.03,93.7
Hugo,2.69,66.59,8.83,16.46,94.05,34.01,-95.38,123
Hulah,3.21,20.9,48.95,20.05,172.92,36.93,-96.09,91.6
Humphreys,8.96,18.41,62.49,5.75,23.25,34.59,-97.89,86.4
Jean Neustadt,5.82,16.62,50.28,22.99,24.23,34.28,-97.17,91.4
John Wells,1.87,56.58,11.65,7.73,5.09,35.23,-95.1,110.1
Kaw,3.6,8,48.26,26.22,9.41,36.7,-96.92,88
Keystone,5.73,42.85,37.99,3.6,16.59,36.15,-96.26,94.4
Konawa,4.41,53.29,26.3,12.48,127.21,34.96,-96.7,100.2
Lawtonka,2.28,16.59,75.16,2.04,25.62,34.74,-98.5,77.4
Lloyd Church,0.36,90.77,3.17,0.14,17.65,34.88,-95.34,115.6
Lone Chimney,5.65,11.65,68.33,11.06,31.73,36.26,-96.83,88.9
McAlester,3.95,41.43,24.98,21.98,13.16,35.02,-95.8,106.4
McGee Creek,1.28,77.53,8.98,7.89,30.58,34.31,-95.87,112.2
McMurtry,4.17,26.76,57.33,4.21,13.91,36.16,-97.18,84.8
Meeker,4.79,22.41,62.27,7.11,35.13,35.5,-96.94,91.7
Mountain,0.06,7.42,90.22,0,36.78,34.37,-97.28,90.8
Murray,11.88,39.89,23.08,7.73,5.96,34.03,-97.06,93.2
New Spiro,7.74,17.44,2.32,67.96,35.58,35.19,-94.62,110.7
Okemah,3.42,44.59,27.83,18.68,19.29,35.53,-96.32,100.5
Okmulgee,3.04,51.12,26.17,13.12,38.75,35.62,-96.06,102
Oologah,4.1,14.62,34.88,43.62,93.07,36.42,-95.68,96.6
Overholser,27.42,4.36,30.66,35.21,93.62,35.49,-97.67,82.8
Ozzie Cobb,0.74,60.56,29.87,7.49,72.43,34.24,-95.39,121.8
Pauls Valley,4.17,23.63,56.49,10.62,18.12,34.77,-97.2,90.6
Pawhuska,3.43,3.46,74.55,3.2,16.79,36.65,-96.4,95.6
Pawnee,4.97,18.4,61.71,10.41,27.1,36.36,-96.81,91.2
Pine Creek,2.89,72.26,20.13,2.74,107.93,34.11,-95.08,127.6
Ponca,8.98,3.36,45.6,33.91,24.14,36.72,-97.03,86.6
Raymond Gary,3.08,59.65,14.73,17.72,137.17,33.99,-95.26,119.3
RC Longmire,3.17,27.3,53.59,10.46,24.54,34.75,-97.06,94
Robert S. Kerr,3.65,31.64,5.52,34.6,2.97,35.35,-94.78,110.6
Rocky,8.19,2.15,14.61,73.66,107.53,35.17,-99.07,68.9
Sardis,1.86,70.03,5.79,13.27,12.98,34.63,-95.35,122
Shawnee Twin #1,9.68,40.47,36.99,2.99,16.47,35.35,-97.06,91.3
Shawnee Twin #2,9.7,40.53,36.62,3.28,6.51,35.36,-97.07,91.2
Shell,44.15,32.67,6.19,11.31,233.42,36.18,-96.18,97.4
Skiatook,3.21,33.74,54.01,4.35,22.16,36.35,-96.09,94.2
Sooner,3.73,0.58,63.36,2.33,3.39,36.46,-97,86.9
Spavinaw,5.63,49.34,3.63,39.39,159.47,36.38,-95.05,113.4
Sportsman,4.38,65.92,21.21,3.92,22.34,35.2,-96.54,99.6
Stilwell,6.05,53.96,1.92,34.12,23.66,35.76,-94.71,117.3
Stroud,3.48,36.16,45.11,9.06,17.3,35.8,-96.6,93.3
Talawanda #1,6.81,52.39,19.11,20.35,1702.55,34.98,-95.79,106.1
Talawanda #2,6.81,52.39,19.11,20.35,794.52,34.99,-95.79,106.1
Taylor,9.11,11.81,72.54,4.8,60.96,34.75,-97.92,84.7
Tecumseh,7.37,28.93,44.07,14.72,25.29,35.3,-96.95,91.9
Tenkiller,12.27,44.4,2.52,38.63,78.98,35.6,-95.04,115.9
Texoma,6.39,27.79,35.58,15.43,1.82,33.83,-96.58,100.2
Thunderbird,20.11,37.83,32.82,3.82,30.7,35.22,-97.22,89.1
Tom Steed,3.97,4.22,34,49.29,12.66,34.75,-98.97,70.7
Walters,4.01,0.19,75.2,14.67,20.42,34.38,-98.33,78.3
Waurika,4.78,7.74,67.65,16.43,35.72,34.23,-98.05,81.8
Waxhoma,5.01,27.1,61.39,4.3,59.84,36.55,-96.12,96.3
Wayne Wallace,4.25,90.05,2.59,1.84,76.23,34.99,-95.36,116.5
Webbers Falls,10.16,41.43,8.68,32.43,21.69,35.55,-95.17,108.6
Wes Watkins,14.67,38.42,37.36,5.17,21.64,35.4,-97.1,90.7
Wetumka,4.21,60.43,16.93,11.35,16.08,35.28,-96.25,104.2
Wiley Post,5.38,11.65,57.13,21.08,27,34.86,-97.38,90.2
Wister,3.7,73.53,4.36,15.22,101.39,34.94,-94.72,125.9
WR Holway,3.39,34.47,0.72,40.77,4.24,36.26,-95.1,109.6