,Chla_corr_ug.L,Phosphorus_mg.L,Turbidity_NTU,Conductivity_uS.cm,DO_mg.L,pH_XX,Temperature_degC,NOx_mg.L,UL_XX,FOREST,GRASS,AG,WA_LA,LAT,LONG,PRECIP
Arcadia,16.2,0.052333333,14.09666667,411.6,8.8125,8.285,21.73975,0.445,58.4,20.84,16.9,1.19,72.98,35.65,-97.36,85.1
Birch,10.356,0.022,9.06,176.5,9.016,7.884,18.5924,0.206666667,5.42,36.21,49.23,6.32,35.86,36.53,-96.16,94.5
Bluestem,4.351428571,0.050428571,27.15,189.6,8.95375,7.96375,17.106375,0.16,1.49,3.45,90.73,1.18,34.85,36.7,-96.4,94.1
Broken Bow,4.37,0.023,2.16,36.1,8.842,7.096,20.6554,0.135,3.81,75.76,12.68,7.2,21.86,34.15,-94.68,138.4
Brown,6.346,0.063,44.72,105.2,8.354,7.254,20.296,0.13,12.95,62.57,17.47,1.93,24.39,34.84,-95.86,107.5
Canton,13.936,0.049166667,16.31428571,1388.6,9.478571429,8.194285714,16.75671429,0.11,3.13,0.8,61.8,33.57,1031.82,36.09,-98.59,49.3
Carl Blackwell,14.726,0.0324,10.482,415.25,8.438,8.092,19.1858,0.14,4.5,18.09,64.82,5.33,14.52,36.13,-97.19,84
Chickasha,31.438,0.038,7.828,3040.4,9.016,8.018,19.3372,0.09,3.08,20.64,65.8,6.76,33.37,35.13,-98.13,76.9
Claremore,40.8,0.067,12.69333333,168.4333333,9.736666667,7.823333333,16.37233333,0.27,9.82,49.05,7.55,31.55,59.29,36.33,-95.58,103.1
Clear Creek,12.7675,0.023,6.425,689.4,9.0325,7.9725,17.249,0.11,5.27,23.52,49.79,14.65,17.8,34.59,-97.84,86.7
Clinton,36.015,0.08025,20.8,712.8,9.26,8.5525,17.0695,0.1,4.05,2.46,33.92,58.62,17.7,35.44,-99.22,65.8
Copan,13.07,0.0735,28.75,293,9.4825,7.955,14.81475,0.15,3.7,22.34,34.86,36.6,67,36.89,-95.97,96.4
Crowder,42.28,0.0936,9.25,995.05,9.274,8.004,20.0038,0.5,3.41,2.38,45.37,47.88,107.91,35.39,-98.7,73.2
Duncan,9.81,0.02825,10.09,333.175,8.7925,8.315,19.08575,0.105,3.19,30.75,57.26,1.46,13.84,34.52,-97.81,86.5
Ellsworth,8.694,0.0838,20.46,349.8,9.6,8,13.47225,0.266,4.16,3.87,55.41,32.95,31.23,34.8,-98.37,77.8
Elmer Thomas,92.185,0.222,14.375,482.2,9.975,8.7075,21.8505,0.9,27.27,0,27.27,0,0.01,35.88,-97.99,77.2
Elmore City,13.87,0.06925,24.2,163.375,8.4875,7.665,18.25525,0.17,4.13,6.02,76,9.7,25.07,34.63,-97.39,90.9
Eucha,23,0.041,9.25,148.9,10.1775,8.2825,17.0375,1.315,5.91,46.94,3.79,41.87,81.72,36.37,-94.93,113.6
Fort Cobb,42.61428571,0.110142857,8.607142857,459.1333333,9.413333333,8.313333333,17.337,0.204,3.73,3.86,38.14,51.71,47.49,35.16,-98.46,73.9
Fort Gibson,19.53333333,0.099666667,7,278.8,10.08333333,8.12,21.955,0.17,5.9,41.87,4.79,38.42,12.31,35.87,-95.23,109.2
Fort Supply,35.05333333,0.083666667,46.8,1300.9,8.633333333,8.35,17.498,0.09,2.69,0.2,72.47,23.26,673.82,36.55,-99.57,54.9
Frederick,5.31,0.069666667,48.73333333,491.7,8.8,8.033333333,18.70333333,0.22,3.34,0.42,83.4,10.04,41.75,34.51,-98.89,71.5
Fuqua,14.605,0.0255,8.7425,599.8,8.96,8.385,17.50275,0.06,4.41,27.6,56.76,5.08,15.98,34.6,-97.67,87.7
Great Salt Plains,81,0.238666667,97.85714286,3759.525,9.861666667,8.335,18.12216667,0.48,3.09,1.2,63.26,29.91,232.26,36.74,-98.16,67
Greenleaf,13.24,0.0296,6.166666667,123.3,9.35,7.8,18.81283333,0.115,3.31,68.83,9.92,16,60.43,35.62,-95.17,110.3
Hauani,4.373333333,0.037333333,8.93,225.7333333,8.55,7.803333333,18.436,0.365,2.78,20.95,59.41,16.11,27.46,34.06,-96.88,97.9
Hefner,29.325,0.0945,5.7525,1255.9,10.66,8.42,16.892,0.1,55.75,0.84,2.78,0.24,2.37,35.58,-97.6,84.2
Henryetta,3.505,0.127,91.64,71.7,7.856,7.332,20.2582,0.1975,3.94,44.09,19.12,28.57,24.95,35.42,-95.92,105.4
Heyburn,10.11333333,0.053,47.13333333,205.4,5.236666667,7.343333333,27.02533333,0.12,3.84,61.54,28.1,5.39,118.24,35.95,-96.3,94.6
Hominy,5.8625,0.01675,6.75,244.4,8.9675,7.905,16.75,0.195,4.11,10.66,79.5,3.96,17.97,36.41,-96.42,94.2
Hudson-Mayes_cty,14.48857143,0.115142857,10.03285714,230.1,9.231428571,7.87,16.45114286,0.504285714,5.63,39,2.64,46.82,21.17,36.23,-95.18,109.2
Hulah,12.318,0.0764,49.7,241.6,9.973333333,8.048333333,15.918,0.1275,3.21,20.9,48.95,20.05,172.92,36.93,-96.09,91.6
Humphreys,20.275,0.039,7.6425,547.8,9.125714286,8.194285714,19.45071429,0.128,8.96,18.41,62.49,5.75,23.25,34.59,-97.89,86.4
Kaw,28.0975,0.16025,8.8875,1085.05,10.2,8.135,17.68975,0.536666667,3.6,8,48.26,26.22,9.41,36.7,-96.92,88
Keystone,9.345,0.2245,53.82333333,918.6,7.293333333,7.811666667,18.38033333,0.621666667,5.73,42.85,37.99,3.6,16.59,36.15,-96.26,94.4
Konawa,18,0.0528,5.88,523.55,8.888,8.316,21.3672,0.06,4.41,53.29,26.3,12.48,127.21,34.96,-96.7,100.2
Lawtonka,24.8325,0.03075,7.475,266.4666667,8.685,7.845,19.0665,0.1,2.28,16.59,75.16,2.04,25.62,34.74,-98.5,77.4
Lloyd Church,6.99,0.028,12.4,38,9.61,7.21,18.009,0.06,0.36,90.77,3.17,0.14,17.65,34.88,-95.34,115.6
McAlester,7.9875,0.131,78.675,107.4,8.93,7.3075,17.9695,0.19,3.95,41.43,24.98,21.98,13.16,35.02,-95.8,106.4
McGee Creek,4.1725,0.01775,8.3025,63.8,8.8325,7.1125,17.3805,0.163333333,1.28,77.53,8.98,7.89,30.58,34.31,-95.87,112.2
McMurtry,6.661428571,0.022142857,10.8,282.7666667,10.27,8.24,14.77266667,0.096666667,4.17,26.76,57.33,4.21,13.91,36.16,-97.18,84.8
Meeker,4.706666667,0.091,103.3333333,137.2666667,9.913333333,7.683333333,11.027,0.235,4.79,22.41,62.27,7.11,35.13,35.5,-96.94,91.7
Mountain,5.37,0.02,6.273333333,263.4,8.01,8.023333333,20.982,0.14,0.06,7.42,90.22,0,36.78,34.37,-97.28,90.8
New Spiro,40,0.1175,13.3,110.6,8.7425,7.1975,18.222,0.35,7.74,17.44,2.32,67.96,35.58,35.19,-94.62,110.7
Okemah,10.16,0.02775,11.825,137.85,8.535,7.555,19.35875,0.13,3.42,44.59,27.83,18.68,19.29,35.53,-96.32,100.5
Okmulgee,6.736666667,0.024,9,76.65,8.426666667,7.31,18.82566667,0.085,3.04,51.12,26.17,13.12,38.75,35.62,-96.06,102
Oologah,3.795714286,0.083142857,12.59,256.35,8.982142857,7.865714286,17.57428571,0.338,4.1,14.62,34.88,43.62,93.07,36.42,-95.68,96.6
Overholser,44.05,0.191,33.725,760.525,9.577142857,8.508571429,14.27642857,0.07,27.42,4.36,30.66,35.21,93.62,35.49,-97.67,82.8
Pauls Valley,6.91,0.04675,27.59,260.9,8.6125,7.9725,17.53825,0.15,4.17,23.63,56.49,10.62,18.12,34.77,-97.2,90.6
Pine Creek,14.53666667,0.033666667,10.33333333,29.9,8.153333333,7.19,22.359,0.08,2.89,72.26,20.13,2.74,107.93,34.11,-95.08,127.6
Ponca,26.3175,0.03775,5.815,328.85,9.4775,8.02,21.70075,0.23,8.98,3.36,45.6,33.91,24.14,36.72,-97.03,86.6
Raymond Gary,9.683333333,0.044333333,16.33333333,89.86666667,6.446666667,7.006666667,16.618,0.093333333,3.08,59.65,14.73,17.72,137.17,33.99,-95.26,119.3
RC Longmire,14.74125,0.040875,11.41875,236.225,9.495,8.14625,19.087875,0.34,3.17,27.3,53.59,10.46,24.54,34.75,-97.06,94
Sardis,7.6175,0.03,16.55,39.33333333,8.47,7.1725,18.65075,0.06,1.86,70.03,5.79,13.27,12.98,34.63,-95.35,122
Shawnee Twin #1,6.5625,0.01675,12,180,9.705,8.115,16.6275,0.14,9.68,40.47,36.99,2.99,16.47,35.35,-97.06,91.3
Shawnee Twin #2,12.2675,0.017,8.25,176.1333333,9.915,8.2225,16.673,0.075,9.7,40.53,36.62,3.28,6.51,35.36,-97.07,91.2
Shell,14.33333333,0.027,8.63,193.7,8.25,8.046666667,21.706,0.16,44.15,32.67,6.19,11.31,233.42,36.18,-96.18,97.4
Spavinaw,20.0325,0.03575,7.19375,166.075,9.805,8.21,18.90375,0.493333333,5.63,49.34,3.63,39.39,159.47,36.38,-95.05,113.4
Sportsman,3.103333333,0.025,16.43333333,174.5,9.453333333,7.4,14.34966667,0.076666667,4.38,65.92,21.21,3.92,22.34,35.2,-96.54,99.6
Stroud,5.5775,0.018625,11.0625,167.475,8.87125,7.8325,18.81725,0.12,3.48,36.16,45.11,9.06,17.3,35.8,-96.6,93.3
Taylor,44.56666667,0.11575,11.425,437.75,10.1875,8.515,19.1375,0.14,9.11,11.81,72.54,4.8,60.96,34.75,-97.92,84.7
Tecumseh,7.776666667,0.067666667,60.96666667,281.3,8.456666667,7.636666667,19.045,0.19,7.37,28.93,44.07,14.72,25.29,35.3,-96.95,91.9
Texoma,15.28,0.0352,4.2,1769.9,9.102,8.124,20.4446,0.11,6.39,27.79,35.58,15.43,1.82,33.83,-96.58,100.2
Thunderbird,14.245,0.0305,6.54,400.7,9.8325,8.3175,17.93125,0.275,20.11,37.83,32.82,3.82,30.7,35.22,-97.22,89.1
Tom Steed,13.155,0.069,15.4,1177.5,9.9275,8.3275,15.96575,0.19,3.97,4.22,34,49.29,12.66,34.75,-98.97,70.7
Waurika,7.2775,0.10775,9.235,615.7,10.0375,8.3875,15.341,0.083333333,4.78,7.74,67.65,16.43,35.72,34.23,-98.05,81.8
Waxhoma,5.513333333,0.029,15.59333333,68.73333333,9.723333333,7.616666667,12.73133333,0.13,5.01,27.1,61.39,4.3,59.84,36.55,-96.12,96.3
Webbers Falls,16.92,0.2065,40.5,507.3,9.985,7.845,15.665,0.655,10.16,41.43,8.68,32.43,21.69,35.55,-95.17,108.6
Wes Watkins,28,0.038666667,28,212.9,9.386666667,8.2,19.126,0.34,14.67,38.42,37.36,5.17,21.64,35.4,-97.1,90.7
Wetumka,11.19333333,0.045,19.66666667,83.53333333,9.916666667,7.453333333,14.75133333,0.07,4.21,60.43,16.93,11.35,16.08,35.28,-96.25,104.2
Wiley Post,9.9425,0.1395,47.35,368.3,8.345,8.0425,17.03575,0.17,5.38,11.65,57.13,21.08,27,34.86,-97.38,90.2
Wister,23.13333333,0.074333333,26.36666667,103.8,8.706666667,7.15,17.831,0.14,3.7,73.53,4.36,15.22,101.39,34.94,-94.72,125.9